Datum;Uhrzeit;exemplary_load
01.11.2016;00:00:00;9,803.20
01.11.2016;00:15:00;9,803.20
01.11.2016;00:30:00;9,565.60
01.11.2016;00:45:00;8,835.20
01.11.2016;01:00:00;8,632.80
01.11.2016;01:15:00;8,272.00
01.11.2016;01:30:00;8,624.00
01.11.2016;01:45:00;8,967.20
01.11.2016;02:00:00;8,544.80
01.11.2016;02:15:00;8,756.00
01.11.2016;02:30:00;8,826.40
01.11.2016;02:45:00;8,483.20
01.11.2016;03:00:00;8,131.20
01.11.2016;03:15:00;7,295.20
01.11.2016;03:30:00;6,767.20
01.11.2016;03:45:00;6,635.20
01.11.2016;04:00:00;6,661.60
01.11.2016;04:15:00;6,494.40
01.11.2016;04:30:00;7,550.40
01.11.2016;04:45:00;7,752.80
01.11.2016;05:00:00;7,858.40
01.11.2016;05:15:00;8,377.60
01.11.2016;05:30:00;8,219.20
01.11.2016;05:45:00;8,333.60
01.11.2016;06:00:00;8,932.00
01.11.2016;06:15:00;9,785.60
01.11.2016;06:30:00;10,797.60
01.11.2016;06:45:00;11,475.20
01.11.2016;07:00:00;12,364.00
01.11.2016;07:15:00;12,267.20
01.11.2016;07:30:00;12,962.40
01.11.2016;07:45:00;13,719.20
01.11.2016;08:00:00;14,009.60
01.11.2016;08:15:00;13,930.40
01.11.2016;08:30:00;13,886.40
01.11.2016;08:45:00;14,467.20
01.11.2016;09:00:00;15,532.00
01.11.2016;09:15:00;16,183.20
01.11.2016;09:30:00;16,552.80
01.11.2016;09:45:00;16,297.60
01.11.2016;10:00:00;16,385.60
01.11.2016;10:15:00;15,963.20
01.11.2016;10:30:00;16,297.60
01.11.2016;10:45:00;16,209.60
01.11.2016;11:00:00;16,315.20
01.11.2016;11:15:00;16,737.60
01.11.2016;11:30:00;16,799.20
01.11.2016;11:45:00;16,940.00
01.11.2016;12:00:00;17,036.80
01.11.2016;12:15:00;15,778.40
01.11.2016;12:30:00;15,646.40
01.11.2016;12:45:00;15,435.20
01.11.2016;13:00:00;15,004.00
01.11.2016;13:15:00;14,432.00
01.11.2016;13:30:00;14,291.20
01.11.2016;13:45:00;13,992.00
01.11.2016;14:00:00;13,622.40
01.11.2016;14:15:00;13,464.00
01.11.2016;14:30:00;13,305.60
01.11.2016;14:45:00;13,288.00
01.11.2016;15:00:00;13,437.60
01.11.2016;15:15:00;13,851.20
01.11.2016;15:30:00;13,833.60
01.11.2016;15:45:00;13,912.80
01.11.2016;16:00:00;13,560.80
01.11.2016;16:15:00;12,117.60
01.11.2016;16:30:00;11,572.00
01.11.2016;16:45:00;11,105.60
01.11.2016;17:00:00;9,574.40
01.11.2016;17:15:00;8,201.60
01.11.2016;17:30:00;7,004.80
01.11.2016;17:45:00;7,656.00
01.11.2016;18:00:00;7,286.40
01.11.2016;18:15:00;5,904.80
01.11.2016;18:30:00;4,549.60
01.11.2016;18:45:00;4,232.80
01.11.2016;19:00:00;2,701.60
01.11.2016;19:15:00;1,029.60
01.11.2016;19:30:00;2,085.60
01.11.2016;19:45:00;2,314.40
01.11.2016;20:00:00;-413.6
01.11.2016;20:15:00;-2,296.80
01.11.2016;20:30:00;-1,249.60
01.11.2016;20:45:00;-1,293.60
01.11.2016;21:00:00;-800.8
01.11.2016;21:15:00;880
01.11.2016;21:30:00;228.8
01.11.2016;21:45:00;343.2
01.11.2016;22:00:00;5,200.80
01.11.2016;22:15:00;6,160.00
01.11.2016;22:30:00;5,016.00
01.11.2016;22:45:00;5,112.80
01.11.2016;23:00:00;5,764.00
01.11.2016;23:15:00;3,326.40
01.11.2016;23:30:00;2,965.60
01.11.2016;23:45:00;5,086.40
02.11.2016;00:00:00;5,860.80
02.11.2016;00:15:00;7,040.00
02.11.2016;00:30:00;7,119.20
02.11.2016;00:45:00;8,166.40
02.11.2016;01:00:00;7,506.40
02.11.2016;01:15:00;8,025.60
02.11.2016;01:30:00;8,465.60
02.11.2016;01:45:00;8,360.00
02.11.2016;02:00:00;6,529.60
02.11.2016;02:15:00;5,570.40
02.11.2016;02:30:00;4,690.40
02.11.2016;02:45:00;3,528.80
02.11.2016;03:00:00;3,854.40
02.11.2016;03:15:00;4,716.80
02.11.2016;03:30:00;6,054.40
02.11.2016;03:45:00;6,019.20
02.11.2016;04:00:00;4,875.20
02.11.2016;04:15:00;4,646.40
02.11.2016;04:30:00;5,403.20
02.11.2016;04:45:00;4,312.00
02.11.2016;05:00:00;4,021.60
02.11.2016;05:15:00;4,884.00
02.11.2016;05:30:00;4,813.60
02.11.2016;05:45:00;3,053.60
02.11.2016;06:00:00;4,857.60
02.11.2016;06:15:00;5,896.00
02.11.2016;06:30:00;6,881.60
02.11.2016;06:45:00;9,504.00
02.11.2016;07:00:00;9,442.40
02.11.2016;07:15:00;10,859.20
02.11.2016;07:30:00;11,272.80
02.11.2016;07:45:00;9,653.60
02.11.2016;08:00:00;9,169.60
02.11.2016;08:15:00;10,595.20
02.11.2016;08:30:00;10,225.60
02.11.2016;08:45:00;10,876.80
02.11.2016;09:00:00;11,440.00
02.11.2016;09:15:00;7,453.60
02.11.2016;09:30:00;3,335.20
02.11.2016;09:45:00;6,969.60
02.11.2016;10:00:00;6,644.00
02.11.2016;10:15:00;5,262.40
02.11.2016;10:30:00;3,590.40
02.11.2016;10:45:00;4,760.80
02.11.2016;11:00:00;8,280.80
02.11.2016;11:15:00;8,201.60
02.11.2016;11:30:00;6,749.60
02.11.2016;11:45:00;3,898.40
02.11.2016;12:00:00;501.6
02.11.2016;12:15:00;844.8
02.11.2016;12:30:00;1,716.00
02.11.2016;12:45:00;3,361.60
02.11.2016;13:00:00;3,106.40
02.11.2016;13:15:00;3,027.20
02.11.2016;13:30:00;3,828.00
02.11.2016;13:45:00;5,007.20
02.11.2016;14:00:00;4,268.00
02.11.2016;14:15:00;2,015.20
02.11.2016;14:30:00;2,543.20
02.11.2016;14:45:00;-1,126.40
02.11.2016;15:00:00;-2,481.60
02.11.2016;15:15:00;1,892.00
02.11.2016;15:30:00;519.2
02.11.2016;15:45:00;1,883.20
02.11.2016;16:00:00;2,798.40
02.11.2016;16:15:00;1,619.20
02.11.2016;16:30:00;2,728.00
02.11.2016;16:45:00;-105.6
02.11.2016;17:00:00;-1,144.00
02.11.2016;17:15:00;237.6
02.11.2016;17:30:00;1,812.80
02.11.2016;17:45:00;3,000.80
02.11.2016;18:00:00;2,208.80
02.11.2016;18:15:00;2,499.20
02.11.2016;18:30:00;158.4
02.11.2016;18:45:00;1,416.80
02.11.2016;19:00:00;2,490.40
02.11.2016;19:15:00;2,384.80
02.11.2016;19:30:00;3,414.40
