target;Max;Min;Mean;train_score_ARIMAX_full_norm;train_score_ARIMAX_full;train_score_dynamic_ARIMAX_full_norm;train_score_dynamic_ARIMAX_full;validation_score_ARIMAX_full_norm;validation_score_ARIMAX_full;validation_socre_dynamic_ARIMAX_full_norm;validation_socre_dynamic_ARIMAX_full;best_params_ARIMAX_full;train_score_ARIMAX_reduced_norm;train_score_ARIMAX_reduced;train_score_dynamic_ARIMAX_reduced_norm;train_score_dynamic_ARIMAX_reduced;validation_score_ARIMAX_reduced_norm;validation_score_ARIMAX_reduced;validation_socre_dynamic_ARIMAX_reduced_norm;validation_socre_dynamic_ARIMAX_reduced;best_params_ARIMAX_reduced;train_score_ANN_full_norm;train_score_ANN_full;train_score_dynamic_ANN_full_norm;train_score_dynamic_ANN_full;validation_score_ANN_full_norm;validation_score_ANN_full;validation_socre_dynamic_ANN_full_norm;validation_socre_dynamic_ANN_full;best_params_ANN_full;train_score_ANN_reduced_norm;train_score_ANN_reduced;train_score_dynamic_ANN_reduced_norm;train_score_dynamic_ANN_reduced;validation_score_ANN_reduced_norm;validation_score_ANN_reduced;validation_socre_dynamic_ANN_reduced_norm;validation_socre_dynamic_ANN_reduced;best_params_ANN_reduced;train_score_dynamic_autolstm_full_norm;validation_socre_dynamic_autolstm_full_norm;best_params_autolstm_full;train_score_dynamic_autolstm_reduced_norm;validation_socre_dynamic_autolstm_reduced_norm;best_params_autolstm_reduced
Load0000;163.79575;3.7595;44.3354813;0.110343735;18.07383478;0.23254541;38.08994977;0.115397171;18.90156622;0.217859913;35.68452792;{'order': (4, 1, 4)};0.114547859;18.76245243;0.204960156;33.57160242;0.119459344;19.56693292;0.202931977;33.23939539;{'order': (3, 0, 4)};0.081072328;13.27930277;0.159677423;26.15448326;0.104564097;17.12715472;0.209545486;34.32266008;{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (5, 15), 'learning_rate_init': 0.001};0.070917018;11.61590617;0.168215803;27.55303368;0.087658972;14.35816713;0.195322346;31.99297022;{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (15, 15, 15), 'learning_rate_init': 0.001};0.167806119;0.309710413;(2, 1, 1, False);0.163698837;0.224870324;(1, 1, 1, True)
Load0001;68.13575;0.9785;10.90005021;0.079897348;5.443865745;0.146768075;10.00015284;0.07932224;5.404680325;0.130693552;8.904903179;{'order': (4, 1, 4)};0.084785301;5.776910093;0.134057824;9.13413036;0.083909465;5.717234346;0.111261266;7.580869795;{'order': (3, 0, 4)};0.046453261;3.165127789;0.08169067;5.566055071;0.058131068;3.960803899;0.107097261;7.297152207;{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (5, 15), 'learning_rate_init': 0.01};0.037435298;2.550682126;0.082881637;5.6472025;0.045897975;3.127292966;0.090867762;6.191343111;{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (15, 10, 15), 'learning_rate_init': 0.001};0.104001127;0.178429067;(1, 1, 1, False);0.078009471;0.194644421;(2, 5, 1, True)
Load0002;333;3.5;163.7755657;0.089861059;29.92373281;0.118343037;39.40823117;0.06714395;22.35893526;0.083545558;27.82067082;{'order': (4, 0, 4)};0.089920655;29.94357811;0.120886972;40.25536179;0.067075338;22.33608759;0.080301007;26.74023541;{'order': (4, 0, 3)};0.088120835;29.34423794;0.132860778;44.24263894;0.069464456;23.1316639;0.123242755;41.03983729;{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (5, 15, 10), 'learning_rate_init': 0.001};0.088252855;29.38820061;0.139496104;46.45220273;0.066808686;22.2472923;0.089182398;29.69773851;{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (10, 5, 15), 'learning_rate_init': 0.01};0.128949121;0.107009098;(4, 1, 1, True);0.148052171;0.119526945;(2, 5, 1, False)
Load0003;81.14025;0.82725;9.365996628;0.0319129;2.589420698;0.061463951;4.98720039;0.029048392;2.356993802;0.054930562;4.457079501;{'order': (4, 1, 4)};0.032106527;2.605131655;0.05734578;4.653050934;0.029152906;2.365474059;0.050756441;4.118390287;{'order': (3, 1, 4)};0.028875905;2.342998183;0.07465125;6.057221084;0.030238108;2.453527666;0.089122178;7.231395844;{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (5, 10, 10), 'learning_rate_init': 0.001};0.029378343;2.383766135;0.075428718;6.120305042;0.027353798;2.21949397;0.056813242;4.609840645;{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (15, 15), 'learning_rate_init': 0.001};0.069693066;0.094196282;(4, 1, 1, False);0.080081932;0.064597785;(2, 5, 1, True)
Load0004;287.5;18;80.23126088;0.043921655;12.62747568;0.135192563;38.86786184;0.044126937;12.68649434;0.110134782;31.66374972;{'order': (4, 1, 4)};0.043921655;12.62747568;0.137000748;39.38771493;0.044126937;12.68649434;0.110556967;31.78512794;{'order': (4, 1, 4)};0.028991809;8.335144985;0.148771401;42.77177765;0.044603733;12.82357335;0.144224708;41.46460365;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (5, 10), 'learning_rate_init': 0.01};0.028227199;8.115319671;0.160905506;46.26033283;0.031949834;9.185577312;0.150290491;43.20851609;{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (10, 15, 10), 'learning_rate_init': 0.01};0.131113127;0.176172614;(1, 1, 1, False);0.129242957;0.129675314;(4, 1, 1, False)
Load0006;173.94125;0;29.7358518;0.061708203;10.73360194;0.137159752;23.85773863;0.058930628;10.25046713;0.123463561;21.47540605;{'order': (2, 1, 2)};0.063089153;10.97380619;0.137834871;23.97516981;0.062557855;10.88139148;0.123724733;21.52083472;{'order': (4, 0, 4)};0.043701489;7.601491694;0.134089264;23.32365426;0.053681105;9.337358559;0.133847472;23.2815966;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (5, 5, 5), 'learning_rate_init': 0.01};0.034557604;6.010992893;0.115950536;20.16858117;0.041367646;7.19554012;0.106911668;18.59634923;{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (10, 15), 'learning_rate_init': 0.01};0.14265874;0.186966717;(1, 1, 1, False);0.120502241;0.116127521;(1, 1, 1, False)
Load0007;64.093;2.3825;12.55344203;0.040890101;2.620769236;0.091633376;5.873057948;0.040923573;2.622914555;0.080957178;5.188788383;{'order': (4, 1, 3)};0.040901591;2.621505669;0.087825302;5.628987081;0.040948463;2.62450986;0.083132149;5.328188818;{'order': (4, 1, 4)};0.031646665;2.028329679;0.070649111;4.528113454;0.043390882;2.781051787;0.091681632;5.876150831;{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (5, 5, 5), 'learning_rate_init': 0.001};0.027751079;1.778649904;0.086406661;5.538062128;0.03967183;2.542686594;0.13981744;8.961319197;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (10, 15, 5), 'learning_rate_init': 0.001};0.101208761;0.138195276;(1, 1, 1, True);0.117335908;0.140718326;(2, 1, 1, False)
Load0009;480.5;4.5;100.147166;0.153999082;73.99655906;0.19942329;95.82289103;0.154108715;74.04923769;0.205364743;98.6777592;{'order': (4, 0, 2)};0.153999082;73.99655906;0.205417267;98.70299686;0.154108715;74.04923769;0.203967189;98.00623409;{'order': (4, 0, 2)};0.111656608;53.65100001;0.172072674;82.68092004;0.109686462;52.70434479;0.160437877;77.09040001;{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': (5, 10), 'learning_rate_init': 0.01};0.108888169;52.32076532;0.183830969;88.33078061;0.105531438;50.7078561;0.161197038;77.45517694;{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (15, 10), 'learning_rate_init': 0.01};0.156591669;0.310400367;(2, 1, 1, True);0.174316064;0.167396694;(1, 1, 1, False)
Load0010;94;4.5;27.04403285;0.049764475;4.677860624;0.116809486;10.98009171;0.050373291;4.73508933;0.09485863;8.916711175;{'order': (3, 1, 3)};0.04994594;4.694918326;0.117299018;11.02610765;0.050436574;4.741037974;0.091916155;8.640118581;{'order': (3, 1, 4)};0.036209896;3.403730236;0.080081951;7.527703413;0.046149329;4.338036939;0.12402363;11.65822123;{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (5, 10, 10), 'learning_rate_init': 0.001};0.037004675;3.478439487;0.132712423;12.47496773;0.045701865;4.295975282;0.190376745;17.89541407;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (10, 5, 10), 'learning_rate_init': 0.01};0.100868598;0.189378709;(1, 1, 1, True);0.110593647;0.112404592;(1, 1, 1, False)
Load0011;91.3095;7.66325;26.55735929;0.057736907;5.271928119;0.19123851;17.4618927;0.052078248;4.755238811;0.11892501;10.85898322;{'order': (2, 1, 4)};0.057822155;5.279712058;0.193176327;17.63883387;0.052438687;4.788150318;0.108987304;9.951576217;{'order': (4, 1, 4)};0.027967653;2.55371239;0.057644663;5.263505377;0.0492479;4.496801148;0.112433104;10.26621049;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (5, 10, 15), 'learning_rate_init': 0.01};0.028968688;2.645116373;0.088014432;8.036553763;0.03840399;3.506649089;0.100357211;9.163566798;{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (15, 5, 15), 'learning_rate_init': 0.01};0.10265708;0.219685018;(2, 1, 1, True);0.116330191;0.123608679;(2, 1, 1, False)
